tag,family,topology,shape,pitch,open_frac,wall,edge_frac_est,seed,diffuse_frac,theta,rho,control,params_json
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d76,40.0,0.002462513744831085,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d100,0.0,0.0018247796688228846,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d100,-20.0,0.0022953017614781857,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d100,20.0,0.0022422687616199255,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d100,-40.0,0.0027281830552965403,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
PF_p0550_o70,perf,perforated pyramid,perforated pyramid,5.5,0.7,0.5,0.18182,23,d100,40.0,0.002668574219569564,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""nu"": 4, ""nv"": 6, ""open_frac"": 0.7, ""pitch"": 5.5, ""seed"": 23, ""wall"": 0.5}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d00,0.0,0.0017910307506099343,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d00,-20.0,0.001472278730943799,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d00,20.0,0.0015169060789048672,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d00,-40.0,0.0017458744114264846,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d00,40.0,0.0017791322898119688,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d76,0.0,0.0008278073510155082,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d76,-20.0,0.001137481420300901,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d76,20.0,0.001132881618104875,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d76,-40.0,0.0013573578326031566,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
SP_p0550,floor,pyramid,solid pyramid,5.5,0.0,0.0,0.0,23,d76,40.0,0.0013560877414420247,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.5, ""tip_flat"": 0.0}"
