tag,family,theta,rho,ratio,control,depth_mm,pitch_mm,tip_mm,tip_fraction,aspect
F_co_d30_p75_t04,cone3d,70.0,0.0005777740152552724,0.011640962252051194,0.04963283985853195,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t04,cone3d,80.0,0.002050969051197171,0.041346836755967266,0.049604013562202454,30.0,7.5,0.8,0.010318503049865774,4.0
F_co_d30_p75_t08,cone3d,-80.0,0.0019876614678651094,0.040891689471393496,0.0486079566180706,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-70.0,0.0006424012244679034,0.01330833878704553,0.0482705794274807,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-60.0,0.00032719262526370585,0.006749967784369251,0.048473212867975235,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-50.0,0.0002647094370331615,0.005457947756287335,0.04849981144070625,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-40.0,0.00024311048036906868,0.004984064204693948,0.04877755790948868,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-30.0,0.0002325595705769956,0.00476612464262025,0.04879426956176758,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-20.0,0.00022768376220483333,0.004671086319101049,0.04874321445822716,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,-10.0,0.0002315375895705074,0.00474528175218477,0.04879322275519371,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,0.0,0.00023739835887681693,0.004884269722057245,0.048604678362607956,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,10.0,0.00023402160149998963,0.004796709275973616,0.04878794774413109,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,20.0,0.00022814673138782382,0.0046805919570853385,0.04874313622713089,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,30.0,0.00023248043726198375,0.004763912930407594,0.04880031198263168,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,40.0,0.00024296560150105506,0.004981297923656677,0.0487755611538887,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,50.0,0.0002644186024554074,0.0054219044818369444,0.04876858368515968,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,60.0,0.00032516589271835983,0.0066851830139123035,0.04863978922367096,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,70.0,0.0006325413123704493,0.013024071680270121,0.048567093908786774,30.0,7.5,1.6,0.0412740121994631,4.0
F_co_d30_p75_t08,cone3d,80.0,0.0019770730286836624,0.0408554497219922,0.048391904681921005,30.0,7.5,1.6,0.0412740121994631,4.0
