tag,diffuse_frac,power,bulge,lip,pitch,depth,aspect,seal_frac,theta,rho,control
P050_B00_L00_p0550_d50,d100,0.5,0.0,0.0,5.5,50.0,9.090909090909092,0.521,40.0,0.002856238279491663,0.049834661185741425
P050_B00_L00_p0750_d20,d00,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,0.0,0.028883522376418114,0.04995973780751228
P050_B00_L00_p0750_d20,d00,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,-20.0,0.01351180486381054,0.04995772987604141
P050_B00_L00_p0750_d20,d00,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,-40.0,0.016740379855036736,0.049999795854091644
P050_B00_L00_p0750_d20,d00,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,20.0,0.013288434594869614,0.0499577596783638
P050_B00_L00_p0750_d20,d00,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,40.0,0.01623084396123886,0.04999961704015732
P050_B00_L00_p0750_d20,d76,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,0.0,0.008840770460665226,0.04995853453874588
P050_B00_L00_p0750_d20,d76,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,-20.0,0.005842996761202812,0.049955904483795166
P050_B00_L00_p0750_d20,d76,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,-40.0,0.007074650377035141,0.04996725544333458
P050_B00_L00_p0750_d20,d76,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,20.0,0.005777499172836542,0.04995623603463173
P050_B00_L00_p0750_d20,d76,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,40.0,0.006941463332623243,0.049966853111982346
P050_B00_L00_p0750_d20,d100,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,0.0,0.004174740053713322,0.04995805397629738
P050_B00_L00_p0750_d20,d100,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,-20.0,0.00427576620131731,0.049955103546381
P050_B00_L00_p0750_d20,d100,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,-40.0,0.004672044888138771,0.049956824630498886
P050_B00_L00_p0750_d20,d100,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,20.0,0.00424750242382288,0.04995568096637726
P050_B00_L00_p0750_d20,d100,0.5,0.0,0.0,7.5,20.0,2.6666666666666665,0.521,40.0,0.004617016762495041,0.049956146627664566
P050_B00_L00_p0750_d30,d00,0.5,0.0,0.0,7.5,30.0,4.0,0.521,0.0,0.005199148785322905,0.049919493496418
P050_B00_L00_p0750_d30,d00,0.5,0.0,0.0,7.5,30.0,4.0,0.521,-20.0,0.005964336451143026,0.049914244562387466
P050_B00_L00_p0750_d30,d00,0.5,0.0,0.0,7.5,30.0,4.0,0.521,-40.0,0.007743409834802151,0.04999953880906105
P050_B00_L00_p0750_d30,d00,0.5,0.0,0.0,7.5,30.0,4.0,0.521,20.0,0.006252847611904144,0.04991474002599716
P050_B00_L00_p0750_d30,d00,0.5,0.0,0.0,7.5,30.0,4.0,0.521,40.0,0.00843140110373497,0.04999703913927078
P050_B00_L00_p0750_d30,d76,0.5,0.0,0.0,7.5,30.0,4.0,0.521,0.0,0.003284220350906253,0.04991655424237251
P050_B00_L00_p0750_d30,d76,0.5,0.0,0.0,7.5,30.0,4.0,0.521,-20.0,0.003569459542632103,0.04991071671247482
P050_B00_L00_p0750_d30,d76,0.5,0.0,0.0,7.5,30.0,4.0,0.521,-40.0,0.004431975074112415,0.04993215575814247
P050_B00_L00_p0750_d30,d76,0.5,0.0,0.0,7.5,30.0,4.0,0.521,20.0,0.0037337944377213717,0.04991096258163452
P050_B00_L00_p0750_d30,d76,0.5,0.0,0.0,7.5,30.0,4.0,0.521,40.0,0.00467632757499814,0.04993082955479622
P050_B00_L00_p0750_d30,d100,0.5,0.0,0.0,7.5,30.0,4.0,0.521,0.0,0.0031330385245382786,0.04991554841399193
P050_B00_L00_p0750_d30,d100,0.5,0.0,0.0,7.5,30.0,4.0,0.521,-20.0,0.0032825563102960587,0.04990953579545021
P050_B00_L00_p0750_d30,d100,0.5,0.0,0.0,7.5,30.0,4.0,0.521,-40.0,0.003847596002742648,0.049911126494407654
P050_B00_L00_p0750_d30,d100,0.5,0.0,0.0,7.5,30.0,4.0,0.521,20.0,0.0034264407586306334,0.049909744411706924
P050_B00_L00_p0750_d30,d100,0.5,0.0,0.0,7.5,30.0,4.0,0.521,40.0,0.003955927211791277,0.049910031259059906
P050_B00_L00_p0750_d40,d00,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,0.0,0.003004674334079027,0.049920760095119476
P050_B00_L00_p0750_d40,d00,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,-20.0,0.00401389179751277,0.04991691932082176
P050_B00_L00_p0750_d40,d00,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,-40.0,0.004696008749306202,0.05000355467200279
P050_B00_L00_p0750_d40,d00,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,20.0,0.0038364813663065434,0.04991715028882027
P050_B00_L00_p0750_d40,d00,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,40.0,0.004492003936320543,0.050001051276922226
P050_B00_L00_p0750_d40,d76,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,0.0,0.0023504882119596004,0.049918100237846375
P050_B00_L00_p0750_d40,d76,0.5,0.0,0.0,7.5,40.0,5.333333333333333,0.521,-20.0,0.0027614212594926357,0.049913447350263596
