tag,material,power,bulge,pitch,depth,aspect,theta,rho,control
P015_B00_p1100_d40,fresnel,0.15,0.0,11.0,40.0,3.6363636363636362,40.0,0.005707222037017345,0.04996294155716896
P015_B00_p1100_d50,glossy,0.15,0.0,11.0,50.0,4.545454545454546,0.0,5.960801354376599e-05,0.04995627701282501
P015_B00_p1100_d50,glossy,0.15,0.0,11.0,50.0,4.545454545454546,-20.0,7.529496360803023e-05,0.04995279386639595
P015_B00_p1100_d50,glossy,0.15,0.0,11.0,50.0,4.545454545454546,-40.0,0.00021744593686889857,0.0499517060816288
P015_B00_p1100_d50,glossy,0.15,0.0,11.0,50.0,4.545454545454546,20.0,7.463917427230626e-05,0.049951452761888504
P015_B00_p1100_d50,glossy,0.15,0.0,11.0,50.0,4.545454545454546,40.0,0.00021883443696424365,0.049951910972595215
P015_B00_p1100_d50,fresnel,0.15,0.0,11.0,50.0,4.545454545454546,0.0,0.0037487775553017855,0.049959152936935425
P015_B00_p1100_d50,fresnel,0.15,0.0,11.0,50.0,4.545454545454546,-20.0,0.0039689126424491405,0.049956124275922775
P015_B00_p1100_d50,fresnel,0.15,0.0,11.0,50.0,4.545454545454546,-40.0,0.004124000668525696,0.049965668469667435
P015_B00_p1100_d50,fresnel,0.15,0.0,11.0,50.0,4.545454545454546,20.0,0.003930344711989164,0.04995521157979965
P015_B00_p1100_d50,fresnel,0.15,0.0,11.0,50.0,4.545454545454546,40.0,0.004135147202759981,0.04996591433882713
P015_B25_p0375_d20,glossy,0.15,0.25,3.75,20.0,5.333333333333333,0.0,9.424464224139228e-05,0.04978206753730774
P015_B25_p0375_d20,glossy,0.15,0.25,3.75,20.0,5.333333333333333,-20.0,0.00010388829105067998,0.04976747930049896
P015_B25_p0375_d20,glossy,0.15,0.25,3.75,20.0,5.333333333333333,-40.0,0.00017309248505625874,0.049768995493650436
P015_B25_p0375_d20,glossy,0.15,0.25,3.75,20.0,5.333333333333333,20.0,0.00010375263809692115,0.04976894333958626
P015_B25_p0375_d20,glossy,0.15,0.25,3.75,20.0,5.333333333333333,40.0,0.00017238027066923678,0.0497652031481266
P015_B25_p0375_d20,fresnel,0.15,0.25,3.75,20.0,5.333333333333333,0.0,0.0032371554989367723,0.04979671537876129
P015_B25_p0375_d20,fresnel,0.15,0.25,3.75,20.0,5.333333333333333,-20.0,0.003401930909603834,0.049784205853939056
P015_B25_p0375_d20,fresnel,0.15,0.25,3.75,20.0,5.333333333333333,-40.0,0.0039722197689116,0.04983886331319809
P015_B25_p0375_d20,fresnel,0.15,0.25,3.75,20.0,5.333333333333333,20.0,0.003415484447032213,0.049785204231739044
P015_B25_p0375_d20,fresnel,0.15,0.25,3.75,20.0,5.333333333333333,40.0,0.003994483966380358,0.04983702301979065
P015_B25_p0375_d30,glossy,0.15,0.25,3.75,30.0,8.0,0.0,8.387435809709132e-05,0.049641627818346024
P015_B25_p0375_d30,glossy,0.15,0.25,3.75,30.0,8.0,-20.0,8.177054405678064e-05,0.0496082678437233
P015_B25_p0375_d30,glossy,0.15,0.25,3.75,30.0,8.0,-40.0,0.00010652221681084484,0.049607664346694946
P015_B25_p0375_d30,glossy,0.15,0.25,3.75,30.0,8.0,20.0,8.230117236962542e-05,0.049618400633335114
