tag,cells,panel,seed,pitch,depth,wall,paint_frac,paint_mm,shallow,deep,aspect,tip_frac,samples,theta,rho,rho_at60,params_json
RR_p06.5_d64.0_w0.03_f015_s102,25.0,162.5,102,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,-40.0,0.0016491045244038105,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s102,25.0,162.5,102,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,20.0,0.00112575211096555,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p06.5_d64.0_w0.03_f015_s102,25.0,162.5,102,6.5,64.0,0.03,0.15,9.6,musou_fit,anodised_hi,9.846153846153847,0.00923076923076923,128,40.0,0.0016268653562292457,0.0016499882719169061,"{""depth"": 64.0, ""floor"": ""none"", ""panel"": 162.5, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 6.5, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s23,25.0,203.0,23,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,0.0,0.000332720170263201,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s23,25.0,203.0,23,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,-20.0,0.0011166189797222614,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s23,25.0,203.0,23,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,-40.0,0.0016311571234837174,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s23,25.0,203.0,23,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,20.0,0.0011079026153311133,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s23,25.0,203.0,23,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,40.0,0.0016071265563368797,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s101,25.0,203.0,101,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,0.0,0.00033670890843495727,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s101,25.0,203.0,101,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,-20.0,0.0011183348251506686,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s101,25.0,203.0,101,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,-40.0,0.0016331891529262066,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s101,25.0,203.0,101,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,20.0,0.0011194893158972263,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s101,25.0,203.0,101,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,40.0,0.0016238567186519504,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s102,25.0,203.0,102,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,0.0,0.00033464960870333016,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s102,25.0,203.0,102,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,-20.0,0.0011190040968358517,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s102,25.0,203.0,102,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,-40.0,0.001629868638701737,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s102,25.0,203.0,102,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,20.0,0.0011192703386768699,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.1_d80.0_w0.03_f015_s102,25.0,203.0,102,8.12,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,9.852216748768473,0.007389162561576355,128,40.0,0.001608729944564402,0.0016505929719035823,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 203.0, ""seed"": 102, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.12, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.0_d80.0_w0.03_f015_s23,25.0,200.0,23,8.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,10.0,0.0075,128,0.0,0.00032982323318719864,0.0016542568725223343,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 200.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.0_d80.0_w0.03_f015_s23,25.0,200.0,23,8.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,10.0,0.0075,128,-20.0,0.0011163781164214015,0.0016542568725223343,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 200.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.0_d80.0_w0.03_f015_s23,25.0,200.0,23,8.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,10.0,0.0075,128,-40.0,0.0016357807908207178,0.0016542568725223343,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 200.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.0_d80.0_w0.03_f015_s23,25.0,200.0,23,8.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,10.0,0.0075,128,20.0,0.0011255458230152726,0.0016542568725223343,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 200.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.0_d80.0_w0.03_f015_s23,25.0,200.0,23,8.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,10.0,0.0075,128,40.0,0.001628831960260868,0.0016542568725223343,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 200.0, ""seed"": 23, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
RR_p08.0_d80.0_w0.03_f015_s101,25.0,200.0,101,8.0,80.0,0.03,0.15,12.0,musou_fit,anodised_hi,10.0,0.0075,128,0.0,0.00032821286004036665,0.0016542568725223343,"{""depth"": 80.0, ""floor"": ""none"", ""panel"": 200.0, ""seed"": 101, ""top"": ""honeycomb"", ""top_params"": {""cell_lean_domain"": 16.0, ""jitter"": 0.3, ""pitch"": 8.0, ""wall_bot"": 0.03, ""wall_top"": 0.03}}"
