tag,family,topology,depth,pitch,aspect,seed,diffuse_frac,theta,rho,control,params_json
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d76,-20.0,0.0007320762379094958,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d76,20.0,0.0007387350196950138,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d76,-40.0,0.0008365383255295455,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d76,40.0,0.0008506060112267733,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d100,0.0,0.0003045676276087761,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d100,-20.0,0.0008002289105206728,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d100,20.0,0.0008053178898990154,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d100,-40.0,0.000953851209487766,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d50_p0300,floor,pyramid,50.0,3.0,16.667,23,d100,40.0,0.0009535555727779865,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 3.0, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d30_p0550,floor,pyramid,30.0,5.500550055005501,5.454,23,d00,0.0,0.001112250960431993,0.04999997094273567,"{""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d30_p0550,floor,pyramid,30.0,5.500550055005501,5.454,23,d00,-20.0,0.0006284951232373714,0.04999997094273567,"{""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d30_p0550,floor,pyramid,30.0,5.500550055005501,5.454,23,d00,20.0,0.0006331748445518315,0.04999997094273567,"{""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
P52_d30_p0550,floor,pyramid,30.0,5.500550055005501,5.454,23,d00,-40.0,0.0007807477377355099,0.04999997094273567,"{""backing"": 2.0, ""depth"": 30.0, ""face_h"": 60.0, ""face_w"": 60.0, ""kind"": ""pyramid"", ""margin_depths"": 2.0, ""pitch"": 5.500550055005501, ""tip_flat"": 0.0, ""winding"": ""out""}"
