tag,family,topology,process,feature,seed,diffuse_frac,pitch,depth,theta,rho,control,params_json
P1_groove_p13_t08_s23,ridge,vgroove,print,0.8,23,d100,13.0,50.0,40.0,0.003718974068760872,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 13.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.8, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d00,20.0,50.0,0.0,0.0006675436161458492,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d00,20.0,50.0,-20.0,0.0009308187291026115,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d00,20.0,50.0,-40.0,0.003560570301488042,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d00,20.0,50.0,20.0,0.0009327996522188187,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d00,20.0,50.0,40.0,0.003614224260672927,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d76,20.0,50.0,0.0,0.0031373384408652782,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d76,20.0,50.0,-20.0,0.003250490641221404,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d76,20.0,50.0,-40.0,0.004348520655184984,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
P1_groove_serr_p20_s23,ridge,vgroove,print,0.4,23,d76,20.0,50.0,20.0,0.003224159823730588,0.04999997094273567,"{""arc_segments"": 24, ""backing"": 2.0, ""depth"": 50.0, ""face_h"": 60.0, ""face_w"": 60.0, ""margin_depths"": 2.0, ""micro_depth"": 0.3, ""micro_pitch"": 1.0, ""pitch_jitter"": 0.25, ""pitch_mean"": 20.0, ""pitch_seed"": 23, ""tip_round"": true, ""tip_width"": 0.4, ""valley_round"": 0.4}"
